krr_sigma,krr_lambda,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,meta_coef_krr,meta_coef_xgb,meta_intercept
10.24,0.001,0.1,5,200,0.14331041251899226,0.8809850326745794,-0.02065632274214213
81.92,1e-05,0.1,3,200,0.35958883227476923,0.6489546755828991,-0.009243164872136833
10.24,0.001,0.1,5,200,-0.44299597612605157,1.4083273939333882,-0.007166063529009614
20.48,0.001,0.1,5,200,0.6497695520279692,0.3428501898742903,0.015025227517651563
10.24,0.001,0.1,3,200,0.9371109591596237,0.0584477721481851,-0.011069290522009112
40.96,0.001,0.1,5,200,0.6765892730140649,0.36637778071441846,-0.032681480030611554
5.12,0.001,0.1,5,100,0.4820622977323888,0.5229756386798371,-0.008442634770531088
2.56,0.001,0.1,3,200,0.12730936005135704,0.8713476321794307,0.001785809963760876
20.48,0.001,0.1,3,200,0.18920582124209,0.7918393514337302,0.014161662881593151
20.48,0.001,0.1,3,200,0.6940093495267325,0.24483439020290684,0.04335711878102699
20.48,0.001,0.1,5,200,0.2891085745179992,0.7293738217486111,-0.018298894709776303
10.24,0.001,0.1,3,200,0.46667264230335,0.5447783525974652,0.0005058277139423639
1310.72,1e-07,0.1,5,200,0.15729836157377045,0.8470578253449873,-0.028099499370679015
40.96,0.001,0.1,3,200,0.12046836732282286,0.927497430312184,-0.04877562473476271
40.96,0.001,0.1,5,200,0.6334252506401018,0.3318897924758294,0.0238861782154296
40.96,0.001,0.1,5,200,0.4149963741667862,0.5909491737927087,-0.024062108315825448
40.96,0.001,0.1,5,100,0.30732302500312564,0.723336890325267,-0.027036240636131303
20.48,0.001,0.1,5,200,0.2101186747585459,0.7974379240206757,-0.009245175510359305
5.12,0.001,0.1,3,200,0.36737505497479883,0.6390632759838879,0.00020959341169712875
655.36,1e-05,0.1,3,200,0.17172389325254553,0.9046938674598513,-0.0631201778342172
5.12,0.001,0.1,5,200,0.30639008076472773,0.700261955146915,0.0022173101250416716
2621.44,1e-07,0.1,3,200,0.39405346902117644,0.5795309808855487,0.01382507833833413
20.48,0.001,0.1,3,200,0.5431934703957217,0.4657514015987145,-8.064942115371121e-05
5.12,0.001,0.1,3,200,0.5198480662214138,0.5325807673702341,-0.037426345759666746
20.48,0.001,0.1,3,200,0.26557090567358826,0.6559158920830271,0.06623307493867892
20.48,0.001,0.1,3,200,0.2274215310391547,0.7526462664197835,0.017901716360850695
10.24,0.001,0.1,5,200,-0.05600911048285753,0.9690621622355102,0.055444723663144346
20.48,0.001,0.1,3,200,0.6082934478150402,0.42425074679826064,-0.03169961386895148
40.96,0.001,0.1,3,200,0.9149219164621545,0.06077086954391065,0.027173900845373744
40.96,0.001,0.1,5,200,0.3117625510093819,0.7519624006757426,-0.04909051468221626
40.96,0.001,0.1,3,200,0.20924192792227556,0.8872464686793001,-0.08237437046648366
20.48,0.001,0.1,3,200,0.2562698625741929,0.7536295554769861,-0.03838124562793965
40.96,0.001,0.1,3,200,0.5697991520512168,0.4648651853475281,-0.02664648670383063
20.48,0.001,0.1,5,200,0.9266870212989773,0.008434784426866234,0.039050662008774606
20.48,0.001,0.1,5,100,0.4627675330919864,0.5899608882746036,-0.041699972150154974
5242.88,1e-07,0.1,5,200,0.2690896263321216,0.6972164708445432,0.03144702325979476
1310.72,1e-05,0.1,3,200,0.23276622643066752,0.7787893197929799,-0.001243214348889632
5.12,1e-05,0.1,3,200,0.23939050994672936,0.8282680009561753,-0.05821087484291543
20.48,0.001,0.1,5,200,0.9017883825108618,0.1093106455478606,-0.002707336427547502
20.48,0.001,0.1,3,200,0.3860307595927163,0.680577332839189,-0.04243963302319209
40.96,0.001,0.1,5,100,0.4292564732643082,0.558314687116226,0.013220400976516333
2.56,0.001,0.1,5,200,0.4362770818500968,0.5467168509045447,0.015963967318215477
2621.44,1e-07,0.1,3,200,0.5737381366616898,0.36247299238468883,0.04733404518974427
20.48,0.001,0.1,5,200,0.20243551847490387,0.8601338811502867,-0.050566744273203734
40.96,0.001,0.1,3,200,0.4060632894212393,0.6413674094843561,-0.03689770358057487
20.48,0.001,0.1,3,200,0.5074839472284305,0.509385203785859,-0.013031141733334417
40.96,0.001,0.1,3,200,0.3365987952419144,0.6578076196265525,0.00619027247404913
40.96,0.001,0.1,3,200,0.7374390108647236,0.2669789671049012,-0.006949147811721956
81.92,0.001,0.1,5,200,0.49387002359351395,0.521459140948224,-0.017938902239473253
2.56,0.001,0.1,3,200,-0.10723666086580144,1.110128054018578,-0.005839897261903482
20.48,0.001,0.1,5,200,0.5423276478415903,0.45068902029470564,0.015560855083763592
20.48,0.001,0.1,3,200,0.5838414933109151,0.3344700742639241,0.059906155592466814
20.48,0.001,0.1,5,200,0.5252650627876808,0.43665574039796173,0.015400598401629773
40.96,0.001,0.1,3,200,0.14181597995795972,0.8840750701951758,-0.01661660038505386
5242.88,1e-07,0.1,5,200,0.32102427374613535,0.5650512476134875,0.0948071848743961
40.96,0.001,0.1,3,200,0.09720306329959592,0.9546049460660703,-0.039458106932672266
40.96,0.001,0.1,3,200,0.3382947389664547,0.6352831397195384,0.018911201863727523
2.56,0.1,0.1,5,200,0.15976114376212788,0.9135863568073117,-0.04144067399916829
