sigma,lambda
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
5.12,0.001
5.12,0.001
5.12,0.001
10.24,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
5.12,0.001
5.12,0.001
10.24,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
10.24,0.001
10.24,0.001
20.48,0.001
10.24,0.001
10.24,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
10.24,0.001
10.24,0.001
5.12,0.001
10.24,0.001
10.24,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
5.12,0.001
10.24,0.001
5.12,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
20.48,0.001
20.48,0.001
10.24,0.001
10.24,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
20.48,0.001
5.12,0.001
20.48,0.001
20.48,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
20.48,0.001
10.24,0.001
20.48,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
20.48,0.001
10.24,0.001
20.48,0.001
20.48,0.001
20.48,0.001
5.12,0.001
20.48,0.001
5.12,0.001
5.12,0.001
