krr_sigma,krr_lambda,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,meta_coef_krr,meta_coef_xgb,meta_intercept
20.48,0.001,0.1,3,200,0.831952368081599,0.1933856917423164,-0.00586391824401955
10.24,0.001,0.1,5,200,0.35176727767572924,0.6561754018942391,0.0034754810584040063
20.48,0.001,0.1,5,200,0.42626916745427257,0.6213837302526308,-0.04555144179399884
40.96,0.001,0.1,3,200,0.6253848301623697,0.4136216369194587,-0.011034034128498127
5.12,0.001,0.1,3,200,0.3594307942879177,0.6189074789447184,0.012439949481490742
40.96,0.001,0.1,3,200,0.13241632504530845,0.8888383004216294,-0.013918565752770173
5.12,0.001,0.1,3,200,-0.032682153910822055,1.1023185376861424,-0.04456035140218184
5.12,1e-11,0.1,3,200,0.9785184601614453,0.0771277626004681,-0.013327895177452143
10.24,0.001,0.1,3,200,0.48111586621257263,0.4549475806362566,0.03481429907860811
20.48,0.001,0.1,3,200,0.8833824995054735,0.16889005649318733,-0.060810736896609874
10.24,0.001,0.1,3,200,0.011334292755626247,0.9948232694302318,-0.02742220462955791
5.12,0.001,0.1,5,200,0.3924461374443383,0.7179936804852624,-0.07084415795838828
5.12,0.001,0.1,3,200,0.49034670776014777,0.5188598018122054,0.007796117426424054
10.24,0.001,0.1,5,100,0.4139495215378625,0.5837683233475591,-0.006573835822899388
5.12,1e-11,0.1,5,200,0.39486580257086024,0.6307057159265946,-0.01789596318309472
81.92,0.001,0.1,5,200,0.2899292678282103,0.7164107148328347,-0.007450807152584393
10.24,0.001,0.1,3,200,0.3051644014776381,0.7383081241015181,-0.038078715040515854
5.12,0.001,0.1,3,200,0.5721107038295887,0.47144838824233976,-0.02160483019227155
5.12,0.001,0.1,5,200,0.5465614210110966,0.48799557466411664,-0.01916670777753704
10.24,0.001,0.1,3,200,0.5174634464600445,0.5110761247112876,-0.016885030650818145
163.84,0.001,0.1,5,200,0.6356535527431852,0.42735574323385533,-0.05064109722657806
5.12,1e-11,0.1,5,200,0.5996316107377062,0.36388015558853526,0.01354954927305918
40.96,0.001,0.1,3,200,0.2228734735588159,0.7792119471409225,0.011701695988936
40.96,0.001,0.1,3,200,0.33612398018653605,0.7300397126720913,-0.03164689885548244
20.48,0.001,0.1,3,100,0.6119649164566964,0.40326095696192105,-0.01669961671757636
655.36,1e-05,0.1,3,200,0.12522313100597035,0.8461713388909866,0.02113333780195059
40.96,0.001,0.1,5,200,0.5346654674226207,0.46431448193918684,-0.0156437364473766
2.56,0.001,0.1,5,200,0.007766578013483579,1.0659237789182332,-0.06271565759683884
10.24,0.001,0.1,5,200,0.5785345649488434,0.3996675940554499,0.014238664366560072
327.68,0.001,0.1,5,200,0.30939464512437287,0.698933958268528,-0.0192133117254637
2621.44,1e-05,0.1,3,200,0.11696267417415689,0.9003508141817635,-0.016394365276472755
5242.88,1e-07,0.1,5,200,0.3045965337606319,0.6159071795768414,0.04061092673944344
5242.88,1e-05,0.1,3,200,0.47403693251147594,0.4995139073239804,0.020268712388348598
