sigma,lambda
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
20.48,1e-05
10.24,1e-05
10.24,1e-05
5.12,0.001
5.12,0.001
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
10.24,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,0.001
5.12,0.001
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,1e-05
5.12,0.001
10.24,1e-05
5.12,1e-05
10.24,0.001
5.12,0.001
5.12,1e-05
5.12,1e-05
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
81.92,1e-05
81.92,1e-05
655.36,1e-07
655.36,1e-07
81.92,1e-05
655.36,1e-07
655.36,1e-07
655.36,1e-07
655.36,1e-07
81.92,1e-05
81.92,1e-05
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
5.12,0.001
10.24,0.001
10.24,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
5.12,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
10.24,0.001
