time [min/hours],Temperature [degC],solvent 1,ratio,solvent 2,Al,Co,Li,Mn,Ni
60,40,0.5,10,0.0,0.0,0.10813361273424422,0.12498683902690462,0.0,0.0
60,40,0.5,10,0.02,0.0,0.11098657899996592,0.12828445598787322,0.0,0.0
60,40,0.5,10,0.04,0.0,0.39646343221458186,0.4350964015735285,0.2870239328008252,0.34494459596756916
60,40,0.5,10,0.06,0.0,0.4425251267935081,0.5189736357274369,0.37851053503208043,0.4350242039252329
60,40,0.5,10,0.08,0.0,0.46926552554991646,0.544688339835611,0.40656443867814035,0.47849305763872424
60,40,0.5,10,0.15,0.0,0.4283852585357827,0.49723758208843727,0.3711464036708946,0.4368089302190433
60,40,0.5,15,0.0,0.0,0.07377002382032283,0.10704844694564708,0.0,0.0
60,40,0.5,15,0.02,0.0,0.07571635099891312,0.1098727825080343,0.0,0.0
60,40,0.5,15,0.04,0.0,0.3658354167089911,0.42218352752173305,0.2709109324241453,0.326851806614323
60,40,0.5,15,0.06,0.0,0.41379391072418387,0.5082676158583614,0.36476165894067564,0.41934804538762166
60,40,0.5,15,0.08,0.0,0.44202462539283227,0.5350278181251046,0.3939142012964819,0.46429776441716764
60,40,0.5,15,0.15,0.0,0.40351746104979064,0.4884186408596238,0.35959819713063496,0.4238502660393659
60,40,0.5,20,0.0,0.0,0.0,0.00485629606043193,0.0,0.0
60,40,0.5,20,0.02,0.0,0.0,0.004984423184697541,0.0,0.0
60,40,0.5,20,0.04,0.0,0.2480033999689035,0.3206304265390138,0.16423449138291565,0.2233487577227202
60,40,0.5,20,0.06,0.0,0.30012219921529065,0.4112368905451504,0.2628157802798398,0.3204956321281735
60,40,0.5,20,0.08,0.0,0.3320414955275699,0.441276803974358,0.2953488080842921,0.3690855639648807
60,40,0.5,20,0.15,0.0,0.30311555859446687,0.4028347864141219,0.26961937031522626,0.3369325171621151
60,40,0.5,25,0.0,0.0,0.0,0.0,0.0,0.0
60,40,0.5,25,0.02,0.0,0.0,0.0,0.0,0.0
60,40,0.5,25,0.04,0.0,0.0891690269866402,0.14988044853988358,0.04145281849958382,0.05085868292272411
60,40,0.5,25,0.06,0.0,0.14423937077547294,0.24296422553607017,0.14120188213328405,0.15044946482510796
60,40,0.5,25,0.08,0.0,0.179399121514766,0.2765441859176715,0.17610114186116343,0.20231135815680867
60,40,0.5,25,0.15,0.0,0.16377069029551936,0.2524529208534622,0.16076001555032124,0.18468691764042108
60,40,0.5,30,0.0,0.0,0.0,0.0,0.0,0.0
60,40,0.5,30,0.02,0.0,0.0,0.0,0.0,0.0
60,40,0.5,30,0.04,0.0,0.0,0.02888340769617478,0.0,0.0
60,40,0.5,30,0.06,0.0,0.0,0.12320255274303374,0.0,0.02366915880464262
60,40,0.5,30,0.08,0.0,0.031162571190050014,0.15909075313229154,0.01509045324773157,0.07771210244449907
60,40,0.5,30,0.15,0.0,0.028447830469200047,0.14523149411275424,0.01377584195721146,0.07094217939412947
60,40,0.75,10,0.0,0.0,0.2223624224178664,0.18907995091982244,0.04565565859232023,0.08253465124849056
60,40,0.75,10,0.02,0.0,0.22822916887980016,0.19406858218681622,0.04686022441149308,0.08471222184666562
60,40,0.75,10,0.04,0.0,0.5205023916701513,0.5065928678037771,0.37632994088860133,0.4368406986520043
60,40,0.75,10,0.06,0.0,0.5641128520997261,0.5898781239683939,0.4668166050302145,0.5258548620178272
60,40,0.75,10,0.08,0.0,0.5882273205180901,0.6142820484820497,0.4930957486765415,0.5677051270539728
60,40,0.75,10,0.15,0.0,0.5369836458424293,0.5607686050333738,0.4501395015799757,0.5182492520415136
60,40,0.75,15,0.0,0.0,0.18977347492205915,0.17213827398954556,0.0256162459542923,0.06022004838904444
60,40,0.75,15,0.02,0.0,0.1947804039277016,0.17667992090504106,0.026292097650323074,0.061808876896954176
60,40,0.75,15,0.04,0.0,0.49181693277631583,0.49480843039725914,0.36169297369807923,0.4202341084238013
60,40,0.75,15,0.06,0.0,0.5372887991965419,0.5802961063895146,0.4545313756936053,0.5116522760202001
60,40,0.75,15,0.08,0.0,0.5628544115493237,0.6057267314724011,0.4818813010607203,0.5549596543946822
60,40,0.75,15,0.15,0.0,0.5138211086932251,0.5529585881250788,0.4399020053658623,0.5066141066855848
60,40,0.75,20,0.0,0.0,0.07325944102403877,0.06986290610269559,0.0,0.0
60,40,0.75,20,0.02,0.0,0.07519229713237714,0.07170614900654322,0.0,0.0
60,40,0.75,20,0.04,0.0,0.3748308099155892,0.3932476438886951,0.25533892101856565,0.3171318635534021
60,40,0.75,20,0.06,0.0,0.42445606518753315,0.4832829504443786,0.352925658030211,0.4132164452876082
60,40,0.75,20,0.08,0.0,0.453698739785473,0.5120031296344827,0.3836572842605079,0.46016773358477175
60,40,0.75,20,0.15,0.0,0.41417457997284035,0.46739975795701116,0.3502348158102889,0.42008002460980964
60,40,0.75,25,0.0,0.0,0.0,0.0,0.0,0.0
60,40,0.75,25,0.02,0.0,0.0,0.0,0.0,0.0
60,40,0.75,25,0.04,0.0,0.2115245606779182,0.21893655447437782,0.12922758780972915,0.14062382616293606
60,40,0.75,25,0.06,0.0,0.26420148458656806,0.31151565686039,0.22804163037249117,0.23922951778277826
60,40,0.75,25,0.08,0.0,0.2967869447732023,0.3438554196273275,0.2612135894373426,0.2895396612327334
60,40,0.75,25,0.15,0.0,0.2709322231112842,0.3139003076421957,0.23845785584410342,0.26431628977691013
60,40,0.75,30,0.0,0.0,0.0,0.0,0.0,0.0
60,40,0.75,30,0.02,0.0,0.0,0.0,0.0,0.0
60,40,0.75,30,0.04,0.0,0.052928167203921836,0.09505605718744052,0.0,0.009099131422486572
60,40,0.75,30,0.06,0.0,0.1085578600591366,0.18892007565262903,0.05974806887429597,0.10910860857087502
60,40,0.75,30,0.08,0.0,0.14438260044181206,0.2236308300201948,0.09649111556151267,0.16167154727592603
60,40,0.75,30,0.15,0.0,0.13180464843620124,0.20414913459177678,0.08808525074963906,0.1475874612704791
60,40,1.0,10,0.0,0.0,0.3684390160644092,0.2943913148544105,0.13281909181683318,0.20385115689797498
60,40,1.0,10,0.02,0.0,0.378159805532477,0.3021584509831931,0.13632335269203175,0.2092295074326038
60,40,1.0,10,0.04,0.0,0.678140362360326,0.6215633778889135,0.47245525657115045,0.5692289069739175
60,40,1.0,10,0.06,0.0,0.7184455714086013,0.7031554621361031,0.5617836705123054,0.6561537513619342
60,40,1.0,10,0.08,0.026173371314601786,0.7390989298290073,0.7251660998455719,0.5861233198709911,0.6953802641093482
60,40,1.0,10,0.15,0.023893266875349952,0.674712010364046,0.6619929448252195,0.5350629361117916,0.6348019149117912
60,40,1.0,15,0.0,0.0,0.3382465823923117,0.27925580560734503,0.1142243862151024,0.18361551855670627
60,40,1.0,15,0.02,0.0,0.34717078333832563,0.28662361079538956,0.11723804970375584,0.18845997780540957
60,40,1.0,15,0.04,0.0,0.6520535371920242,0.6117611337960116,0.45942508130576654,0.5549028747570968
60,40,1.0,15,0.06,0.0,0.6941680845640278,0.6955295793168276,0.5510898203828895,0.6441990126031755
60,40,1.0,15,0.08,0.0,0.7162171078937474,0.7185268619301259,0.5764692390492951,0.6848391687352018
60,40,1.0,15,0.15,0.0,0.6538235481357224,0.6559320869610834,0.5262498746710091,0.625179111570741
60,40,1.0,20,0.0,0.0,0.22308483334582835,0.17770822706637118,0.007337102620832802,0.08011369781236792
60,40,1.0,20,0.02,0.0,0.22897063969076334,0.1823968300284435,0.007530682634828227,0.08222739466853787
60,40,1.0,20,0.04,0.0,0.536567450317679,0.5110480755922807,0.35351125353064383,0.4529968507890906
60,40,1.0,20,0.06,0.0,0.5828118494395746,0.5993677461250386,0.4499394127503486,0.5469550765063738
60,40,1.0,20,0.08,0.0,0.6085101594806716,0.6256431286574077,0.47869891825821614,0.5912230986849664
60,40,1.0,20,0.15,0.0,0.555499536611593,0.5711399598489008,0.4369968572026201,0.539718445512681
60,40,1.0,25,0.0,0.0,0.06869204244360434,0.013952415285064476,0.0,0.0
60,40,1.0,25,0.02,0.0,0.07050439361598182,0.014320531813554308,0.0,0.0
60,40,1.0,25,0.04,0.0,0.368087660688619,0.33227368837391635,0.2239130102269686,0.27162802754255777
60,40,1.0,25,0.06,0.0,0.4175016948416804,0.42322650033498876,0.3216317064583244,0.3682058889115908
60,40,1.0,25,0.08,0.0,0.4466625679450293,0.4532234716078382,0.3529094622419035,0.4159405881726845
60,40,1.0,25,0.15,0.0,0.407751367252384,0.4137407149858025,0.32216560346099116,0.37970574589105127
60,40,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0
60,40,1.0,30,0.02,0.0,0.0,0.0,0.0,0.0
60,40,1.0,30,0.04,0.0,0.20443812249223323,0.20463297673243583,0.049170953411332555,0.13588137009327847
60,40,1.0,30,0.06,0.0,0.25692008770797864,0.29694246825875287,0.14938010490300255,0.23394563255507347
60,40,1.0,30,0.08,0.0,0.2894371926068956,0.32939501686118644,0.18432079693865547,0.2840252189887543
60,40,1.0,30,0.15,0.0,0.2642227477492094,0.3006996290492916,0.16826361185929617,0.25928224052812343
60,40,1.25,10,0.0,0.0,0.3784179794720832,0.28474141625471505,0.1719115629938064,0.20492277545756865
60,40,1.25,10,0.02,0.0,0.3884020510524053,0.2922539522228213,0.17644722843127097,0.2103293992692798
60,40,1.25,10,0.04,0.0,0.6849012292877767,0.6073687325196482,0.5093359313049235,0.5657721237033031
60,40,1.25,10,0.06,0.0,0.7242857342723382,0.6880634940044025,0.5964036090499923,0.6514720394404584
60,40,1.25,10,0.08,0.0,0.7442828775723247,0.7099435138169565,0.6193516530780312,0.6900932512630509
60,40,1.25,10,0.15,0.0,0.6794443562819624,0.6480964808908035,0.5653965688561443,0.6299754824514175
60,40,1.25,15,0.0,0.0,0.3489069520443379,0.26968649266699524,0.1543623249397931,0.18502206205329932
