iteration,krr_sigma,krr_lambda,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,meta_coef_krr,meta_coef_xgb,meta_intercept,mae
1,5.12,0.001,200,5,0.1,0.4719787512817711,0.5310613588772202,0.0023561984437824313,0.030801968007644023
2,5.12,0.001,200,3,0.1,0.5974988930518282,0.41487423439917337,-0.005437328254758733,0.040435916210224666
3,10.24,0.001,200,5,0.1,0.41354832324041196,0.5908959488643583,-0.002689748311511697,0.03843452113408059
4,10.24,0.001,200,5,0.1,0.3395716317099569,0.6652525921584013,-0.005614220764634692,0.03729719797635638
5,10.24,0.001,200,3,0.1,0.3463678274084326,0.6599949162807075,-0.009593302830551709,0.036259090823990835
6,10.24,0.001,200,3,0.1,0.3107839349424358,0.7076419523229384,-0.010746330088545863,0.03411161665592628
7,5.12,1e-11,200,5,0.1,0.6435954142149845,0.35049463477276216,0.001925265464508108,0.030040202510157887
8,10.24,0.001,200,5,0.1,0.39056903512003094,0.6253217304755551,-0.00727106525041854,0.038461183425626315
9,10.24,1e-05,200,3,0.1,0.4165034338785058,0.6038404784694564,-0.01815954744777859,0.02924266712963636
10,5.12,0.001,200,3,0.1,0.6388438624551164,0.34927433882308273,0.009811682059176374,0.054943307318759814
