iteration,krr_sigma,krr_lambda,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,meta_coef_krr,meta_coef_xgb,meta_intercept,mae
0,10.24,0.001,0.1,3,200,0.44838912484317484,0.5832740819093769,-0.06589453841249515,0.04832496921558688
1,2621.44,1e-05,0.1,3,200,0.14245740920415914,0.8569556453385915,-0.011522197626627428,0.06100432306437709
2,10.24,0.001,0.1,5,200,0.49507352706232793,0.5027777059846686,0.0015067240130973714,0.05349386330079994
3,20.48,0.001,0.1,3,200,0.13810055075428754,0.8149351254566704,0.015754425838642505,0.04946402126434915
4,327.68,0.001,0.1,3,200,-0.02673304326835336,0.9677894667877632,0.04215254942729618,0.05209144147697054
5,20.48,0.001,0.1,3,200,0.3035564904582603,0.7446214150194231,-0.0338240202108645,0.05303897433757678
6,2.56,0.001,0.1,3,200,0.4083476449127962,0.5867252155739499,0.037374926066026104,0.06715006042986438
7,163.84,0.001,0.1,5,200,0.4909349293151257,0.5498361127983341,-0.028388090469601668,0.044139986858160084
8,20.48,0.001,0.1,3,200,-0.02924379521270034,0.9652966616883889,0.037626934689850344,0.0452120460215113
9,5.12,1e-11,0.1,3,200,-0.2796267833224782,1.2732743404084363,-0.015468265494148037,0.06872283403229662
